Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,BZÖ Stimmen,BZÖ Ant. %,KPÖ Stimmen,KPÖ Ant. %,MATIN Stimmen,MATIN Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum
40100,Stadt Linz,139974,98185,70.150000000000006,1684,1.72,96501,98.280000000000001,21451,22.23,44211,45.810000000000002,11383,11.800000000000001,13228,13.710000000000001,2483,2.5699999999999998,1138,1.1799999999999999,2607,2.7000000000000002,1-10-06,7:42:53 PM,2-10-06,12:20:21 AM
40200,Stadt Steyr                         ,28558,20994,73.510000000000005,362,1.72,20632,98.280000000000001,4098,19.859999999999999,10584,51.299999999999997,2598,12.59,2066,10.01,520,2.52,218,1.0600000000000001,548,2.6600000000000001,1-10-06,6:11:58 PM,1-10-06,6:11:58 PM
40300,Stadt Wels                          ,40223,29278,72.790000000000006,432,1.48,28846,98.519999999999996,6693,23.199999999999999,12403,43,4338,15.039999999999999,3271,11.34,1067,3.7000000000000002,242,0.83999999999999997,832,2.8799999999999999,1-10-06,6:06:11 PM,1-10-06,6:06:11 PM
40400,Bezirk Braunau am Inn                ,71701,51724,72.140000000000001,1444,2.79,50280,97.209999999999994,20325,40.420000000000002,15513,30.850000000000001,6906,13.74,3707,7.3700000000000001,1800,3.5800000000000001,396,0.79000000000000004,1633,3.25,1-10-06,6:43:22 PM,1-10-06,6:43:22 PM
40401,Altheim                       ,3727,2789,74.829999999999998,53,1.8999999999999999,2736,98.099999999999994,911,33.299999999999997,1016,37.130000000000003,462,16.890000000000001,162,5.9199999999999999,73,2.6699999999999999,24,0.88,88,3.2200000000000002,1-10-06,5:27:52 PM,1-10-06,5:27:52 PM
40402,Aspach                        ,1782,1388,77.890000000000001,54,3.8900000000000001,1334,96.109999999999999,719,53.899999999999999,296,22.190000000000001,164,12.289999999999999,77,5.7699999999999996,36,2.7000000000000002,11,0.81999999999999995,31,2.3199999999999998,1-10-06,2:46:21 PM,1-10-06,2:46:21 PM
40403,Auerbach                      ,395,315,79.75,10,3.1699999999999999,305,96.829999999999998,186,60.979999999999997,36,11.800000000000001,47,15.41,18,5.9000000000000004,2,0.66000000000000003,5,1.6399999999999999,11,3.6099999999999999,1-10-06,12:27:38 AM,1-10-06,12:27:38 AM
40404,Braunau am Inn                ,12230,8173,66.829999999999998,176,2.1499999999999999,7997,97.849999999999994,1926,24.079999999999998,3264,40.82,1254,15.68,850,10.630000000000001,330,4.1299999999999999,72,0.90000000000000002,301,3.7599999999999998,1-10-06,6:43:22 PM,1-10-06,6:43:22 PM
40405,Burgkirchen                   ,1972,1426,72.310000000000002,35,2.4500000000000002,1391,97.549999999999997,695,49.960000000000001,349,25.09,149,10.710000000000001,92,6.6100000000000003,52,3.7400000000000002,10,0.71999999999999997,44,3.1600000000000001,1-10-06,2:50:55 PM,1-10-06,2:50:55 PM
40406,Eggelsberg                    ,1615,1086,67.239999999999995,37,3.4100000000000001,1049,96.590000000000003,501,47.759999999999998,259,24.690000000000001,115,10.960000000000001,102,9.7200000000000006,39,3.7200000000000002,7,0.67000000000000004,26,2.48,1-10-06,2:52:20 PM,1-10-06,2:52:20 PM
40407,Feldkirchen bei Mattighofen   ,1421,1057,74.379999999999995,39,3.6899999999999999,1018,96.310000000000002,514,50.490000000000002,200,19.649999999999999,179,17.579999999999998,41,4.0300000000000002,45,4.4199999999999999,8,0.79000000000000004,31,3.0499999999999998,1-10-06,3:46:50 PM,1-10-06,3:46:50 PM
40408,Franking                      ,644,470,72.980000000000004,22,4.6799999999999997,448,95.319999999999993,240,53.57,86,19.199999999999999,65,14.51,21,4.6900000000000004,16,3.5699999999999998,5,1.1200000000000001,15,3.3500000000000001,1-10-06,1:11:27 PM,1-10-06,1:11:27 PM
40409,Geretsberg                    ,794,564,71.030000000000001,15,2.6600000000000001,549,97.340000000000003,313,57.009999999999998,88,16.030000000000001,76,13.84,33,6.0099999999999998,11,2,2,0.35999999999999999,26,4.7400000000000002,1-10-06,2:24:22 PM,1-10-06,2:24:22 PM
40410,Gilgenberg am Weilhart        ,920,651,70.760000000000005,20,3.0699999999999998,631,96.930000000000007,377,59.75,102,16.16,70,11.09,28,4.4400000000000004,31,4.9100000000000001,6,0.94999999999999996,17,2.6899999999999999,1-10-06,3:09:17 PM,1-10-06,3:09:17 PM
40411,Haigermoos                    ,424,305,71.930000000000007,10,3.2799999999999998,295,96.719999999999999,158,53.560000000000002,57,19.32,29,9.8300000000000001,26,8.8100000000000005,17,5.7599999999999998,2,0.68000000000000005,6,2.0299999999999998,1-10-06,1:09:09 PM,1-10-06,1:09:09 PM
40412,Handenberg                    ,991,703,70.939999999999998,16,2.2799999999999998,687,97.719999999999999,382,55.600000000000001,123,17.899999999999999,93,13.539999999999999,36,5.2400000000000002,29,4.2199999999999998,7,1.02,17,2.4700000000000002,1-10-06,3:17:42 PM,1-10-06,3:17:42 PM
40413,Helpfau-Uttendorf             ,2321,1624,69.969999999999999,53,3.2599999999999998,1571,96.739999999999995,616,39.210000000000001,495,31.510000000000002,251,15.98,73,4.6500000000000004,70,4.46,13,0.82999999999999996,53,3.3700000000000001,1-10-06,3:40:14 PM,1-10-06,3:40:14 PM
40414,Hochburg-Ach                  ,2207,1500,67.969999999999999,35,2.3300000000000001,1465,97.670000000000002,793,54.130000000000003,295,20.140000000000001,133,9.0800000000000001,133,9.0800000000000001,37,2.5299999999999998,20,1.3700000000000001,54,3.6899999999999999,1-10-06,4:21:23 PM,1-10-06,4:21:23 PM
40415,Höhnhart                      ,1071,833,77.780000000000001,16,1.9199999999999999,817,98.079999999999998,399,48.840000000000003,204,24.969999999999999,118,14.44,37,4.5300000000000002,29,3.5499999999999998,5,0.60999999999999999,25,3.0600000000000001,1-10-06,4:07:48 PM,1-10-06,4:07:48 PM
40416,Jeging,461,356,77.219999999999999,7,1.97,349,98.030000000000001,149,42.689999999999998,106,30.370000000000001,47,13.470000000000001,17,4.8700000000000001,13,3.7200000000000002,5,1.4299999999999999,12,3.4399999999999999,1-10-06,1:27:10 PM,1-10-06,1:27:10 PM
40417,Kirchberg bei Mattighofen     ,814,635,78.010000000000005,13,2.0499999999999998,622,97.950000000000003,324,52.090000000000003,102,16.399999999999999,105,16.879999999999999,47,7.5599999999999996,19,3.0499999999999998,6,0.95999999999999996,19,3.0499999999999998,1-10-06,2:32:05 PM,1-10-06,2:32:05 PM
40418,Lengau                        ,3248,2457,75.650000000000006,85,3.46,2372,96.540000000000006,721,30.399999999999999,982,41.399999999999999,306,12.9,193,8.1400000000000006,88,3.71,25,1.05,57,2.3999999999999999,1-10-06,3:42:36 PM,1-10-06,3:42:36 PM
40419,Lochen                        ,1825,1321,72.379999999999995,48,3.6299999999999999,1273,96.370000000000005,634,49.799999999999997,273,21.449999999999999,160,12.57,92,7.2300000000000004,51,4.0099999999999998,5,0.39000000000000001,58,4.5599999999999996,1-10-06,3:17:46 PM,1-10-06,3:17:46 PM
40420,Maria Schmolln                ,1059,814,76.859999999999999,23,2.8300000000000001,791,97.170000000000002,442,55.880000000000003,184,23.260000000000002,83,10.49,38,4.7999999999999998,18,2.2799999999999998,3,0.38,23,2.9100000000000001,1-10-06,2:06:41 PM,1-10-06,2:06:41 PM
40421,Mattighofen                   ,3550,2483,69.939999999999998,70,2.8199999999999998,2413,97.180000000000007,641,26.559999999999999,1073,44.469999999999999,310,12.85,201,8.3300000000000001,99,4.0999999999999996,22,0.91000000000000003,67,2.7799999999999998,1-10-06,4:53:14 PM,1-10-06,4:53:14 PM
40422,Mauerkirchen                  ,1579,1104,69.920000000000002,26,2.3599999999999999,1078,97.640000000000001,321,29.780000000000001,372,34.509999999999998,211,19.57,81,7.5099999999999998,33,3.0600000000000001,9,0.82999999999999996,51,4.7300000000000004,1-10-06,3:42:42 PM,1-10-06,3:42:42 PM
40423,Mining                        ,901,683,75.799999999999997,22,3.2200000000000002,661,96.780000000000001,302,45.689999999999998,176,26.629999999999999,79,11.949999999999999,60,9.0800000000000001,29,4.3899999999999997,4,0.60999999999999999,11,1.6599999999999999,1-10-06,3:28:07 PM,1-10-06,3:28:07 PM
40424,Moosbach                      ,669,528,78.920000000000002,21,3.98,507,96.019999999999996,234,46.149999999999999,77,15.19,122,24.059999999999999,32,6.3099999999999996,26,5.1299999999999999,2,0.39000000000000001,14,2.7599999999999998,1-10-06,2:20:32 PM,1-10-06,2:20:32 PM
40425,Moosdorf                      ,1118,791,70.75,21,2.6499999999999999,770,97.349999999999994,262,34.030000000000001,322,41.82,77,10,60,7.79,19,2.4700000000000002,7,0.91000000000000003,23,2.9900000000000002,1-10-06,2:32:58 PM,1-10-06,2:32:58 PM
40426,Munderfing                    ,1973,1502,76.129999999999995,57,3.79,1445,96.209999999999994,601,41.590000000000003,493,34.119999999999997,155,10.73,100,6.9199999999999999,39,2.7000000000000002,9,0.62,48,3.3199999999999998,1-10-06,2:19:26 PM,1-10-06,2:19:26 PM
40427,Neukirchen an der Enknach     ,1613,1170,72.540000000000006,18,1.54,1152,98.459999999999994,518,44.969999999999999,283,24.57,182,15.800000000000001,74,6.4199999999999999,52,4.5099999999999998,8,0.68999999999999995,35,3.04,1-10-06,2:23:36 PM,1-10-06,2:23:36 PM
40428,Ostermiething                 ,2212,1518,68.629999999999995,53,3.4900000000000002,1465,96.510000000000005,702,47.920000000000002,373,25.460000000000001,152,10.380000000000001,120,8.1899999999999995,57,3.8900000000000001,9,0.60999999999999999,52,3.5499999999999998,1-10-06,3:11:21 PM,1-10-06,3:11:21 PM
40429,Palting                       ,673,482,71.620000000000005,14,2.8999999999999999,468,97.099999999999994,253,54.060000000000002,97,20.73,51,10.9,33,7.0499999999999998,14,2.9900000000000002,3,0.64000000000000001,17,3.6299999999999999,1-10-06,1:47:53 PM,1-10-06,1:47:53 PM
40430,Perwang am Grabensee          ,566,423,74.730000000000004,7,1.6499999999999999,416,98.349999999999994,209,50.240000000000002,101,24.280000000000001,53,12.74,24,5.7699999999999996,13,3.1299999999999999,2,0.47999999999999998,14,3.3700000000000001,1-10-06,1:00:34 PM,1-10-06,1:00:34 PM
40431,Pfaffstätt                    ,686,512,74.640000000000001,15,2.9300000000000002,497,97.069999999999993,201,40.439999999999998,153,30.780000000000001,68,13.68,38,7.6500000000000004,18,3.6200000000000001,3,0.59999999999999998,16,3.2200000000000002,1-10-06,1:51:54 PM,1-10-06,3:44:50 PM
40432,Pischelsdorf am Engelbach     ,1233,934,75.75,28,3,906,97,466,51.43,170,18.760000000000002,149,16.449999999999999,43,4.75,41,4.5300000000000002,8,0.88,29,3.2000000000000002,1-10-06,4:52:33 PM,1-10-06,4:52:33 PM
40433,Polling im Innkreis           ,707,570,80.620000000000005,14,2.46,556,97.540000000000006,285,51.259999999999998,148,26.620000000000001,83,14.93,18,3.2400000000000002,9,1.6200000000000001,1,0.17999999999999999,12,2.1600000000000001,1-10-06,1:26:43 PM,1-10-06,1:26:43 PM
40434,Roßbach                       ,732,566,77.319999999999993,24,4.2400000000000002,542,95.760000000000005,238,43.909999999999997,162,29.890000000000001,84,15.5,24,4.4299999999999997,18,3.3199999999999998,5,0.92000000000000004,11,2.0299999999999998,1-10-06,1:54:21 PM,1-10-06,1:54:21 PM
40435,St.Georgen am Fillmannsbach   ,300,218,72.670000000000002,13,5.96,205,94.040000000000006,85,41.460000000000001,28,13.66,72,35.119999999999997,6,2.9300000000000002,13,6.3399999999999999,0,0,1,0.48999999999999999,1-10-06,12:36:11 AM,1-10-06,12:36:11 AM
40436,St.Johann am Walde            ,1597,1230,77.019999999999996,34,2.7599999999999998,1196,97.239999999999995,475,39.719999999999999,473,39.549999999999997,122,10.199999999999999,71,5.9400000000000004,25,2.0899999999999999,6,0.5,24,2.0099999999999998,1-10-06,2:05:07 PM,1-10-06,2:05:07 PM
40437,St.Pantaleon                  ,2262,1660,73.390000000000001,48,2.8900000000000001,1612,97.109999999999999,530,32.880000000000003,648,40.200000000000003,167,10.359999999999999,149,9.2400000000000002,49,3.04,16,0.98999999999999999,53,3.29,1-10-06,5:26:55 PM,1-10-06,5:26:55 PM
40438,St.Peter am Hart              ,1783,1274,71.450000000000003,31,2.4300000000000002,1243,97.569999999999993,473,38.049999999999997,393,31.620000000000001,170,13.68,99,7.96,44,3.54,6,0.47999999999999998,58,4.6699999999999999,1-10-06,2:37:01 PM,1-10-06,2:37:01 PM
40439,St.Radegund                   ,449,333,74.159999999999997,3,0.90000000000000002,330,99.099999999999994,237,71.819999999999993,35,10.609999999999999,10,3.0299999999999998,33,10,5,1.52,3,0.91000000000000003,7,2.1200000000000001,1-10-06,2:24:01 PM,1-10-06,2:24:01 PM
40440,St.Veit im Innkreis           ,305,249,81.640000000000001,7,2.8100000000000001,242,97.189999999999998,106,43.799999999999997,89,36.780000000000001,31,12.81,6,2.48,5,2.0699999999999998,0,0,5,2.0699999999999998,1-10-06,12:37:25 AM,1-10-06,12:48:02 AM
40441,Schalchen                     ,2672,1932,72.310000000000002,60,3.1099999999999999,1872,96.890000000000001,575,30.719999999999999,701,37.450000000000003,256,13.68,151,8.0700000000000003,85,4.54,15,0.80000000000000004,89,4.75,1-10-06,4:36:40 PM,1-10-06,4:36:40 PM
40442,Schwand im Innkreis           ,664,514,77.409999999999997,11,2.1400000000000001,503,97.859999999999999,306,60.829999999999998,91,18.09,40,7.9500000000000002,35,6.96,15,2.98,0,0,16,3.1800000000000002,1-10-06,2:22:24 PM,1-10-06,2:22:24 PM
40443,Tarsdorf                      ,1482,1015,68.489999999999995,39,3.8399999999999999,976,96.159999999999997,536,54.920000000000002,191,19.57,109,11.17,70,7.1699999999999999,34,3.48,7,0.71999999999999997,29,2.9700000000000002,1-10-06,4:26:44 PM,1-10-06,4:26:44 PM
40444,Treubach                      ,567,463,81.659999999999997,11,2.3799999999999999,452,97.620000000000005,269,59.509999999999998,58,12.83,82,18.140000000000001,14,3.1000000000000001,16,3.54,4,0.88,9,1.99,1-10-06,12:15:06 AM,1-10-06,12:47:48 AM
40445,Überackern                    ,428,306,71.5,8,2.6099999999999999,298,97.390000000000001,149,50,81,27.18,34,11.41,10,3.3599999999999999,8,2.6800000000000002,2,0.67000000000000004,14,4.7000000000000002,1-10-06,12:47:01 AM,1-10-06,12:47:01 AM
40446,Weng im Innkreis              ,1059,797,75.260000000000005,22,2.7599999999999998,775,97.239999999999995,351,45.289999999999999,208,26.84,131,16.899999999999999,39,5.0300000000000002,28,3.6099999999999999,4,0.52000000000000002,14,1.8100000000000001,1-10-06,2:36:37 PM,1-10-06,2:36:37 PM
40500,Bezirk Eferding                      ,23728,19207,80.950000000000003,427,2.2200000000000002,18780,97.780000000000001,6856,36.509999999999998,6705,35.700000000000003,2634,14.029999999999999,1582,8.4199999999999999,394,2.1000000000000001,124,0.66000000000000003,485,2.5800000000000001,1-10-06,6:28:11 PM,1-10-06,6:28:11 PM
40501,Alkoven                       ,4060,3229,79.530000000000001,64,1.98,3165,98.019999999999996,884,27.93,1477,46.670000000000002,347,10.960000000000001,269,8.5,78,2.46,21,0.66000000000000003,89,2.8100000000000001,1-10-06,5:58:35 PM,1-10-06,5:58:35 PM
40502,Aschach an der Donau          ,1651,1317,79.769999999999996,31,2.3500000000000001,1286,97.650000000000006,335,26.050000000000001,485,37.710000000000001,231,17.960000000000001,170,13.220000000000001,14,1.0900000000000001,8,0.62,43,3.3399999999999999,1-10-06,6:28:11 PM,1-10-06,6:28:11 PM
40503,Eferding                      ,2653,2046,77.120000000000005,56,2.7400000000000002,1990,97.260000000000005,642,32.259999999999998,793,39.850000000000001,290,14.57,186,9.3499999999999996,38,1.9099999999999999,11,0.55000000000000004,30,1.51,1-10-06,5:33:05 PM,1-10-06,6:01:05 PM
40504,Fraham                        ,1599,1305,81.609999999999999,26,1.99,1279,98.010000000000005,406,31.739999999999998,537,41.990000000000002,182,14.23,103,8.0500000000000007,18,1.4099999999999999,6,0.46999999999999997,27,2.1099999999999999,1-10-06,5:30:56 PM,1-10-06,5:44:04 PM
40505,Haibach ob der Donau          ,992,816,82.260000000000005,30,3.6800000000000002,786,96.319999999999993,364,46.310000000000002,261,33.210000000000001,66,8.4000000000000004,59,7.5099999999999998,13,1.6499999999999999,9,1.1499999999999999,14,1.78,1-10-06,3:11:53 PM,1-10-06,3:32:04 PM
40506,Hartkirchen                   ,3164,2615,82.650000000000006,62,2.3700000000000001,2553,97.629999999999995,1013,39.68,785,30.75,405,15.859999999999999,198,7.7599999999999998,57,2.23,16,0.63,79,3.0899999999999999,1-10-06,4:39:34 PM,1-10-06,4:44:47 PM
40507,Hinzenbach                    ,1461,1257,86.040000000000006,24,1.9099999999999999,1233,98.090000000000003,480,38.93,440,35.689999999999998,162,13.140000000000001,88,7.1399999999999997,30,2.4300000000000002,6,0.48999999999999999,27,2.1899999999999999,1-10-06,5:26:31 PM,1-10-06,5:26:31 PM
40508,Prambachkirchen               ,2145,1762,82.140000000000001,33,1.8700000000000001,1729,98.129999999999995,812,46.960000000000001,461,26.66,223,12.9,132,7.6299999999999999,34,1.97,13,0.75,54,3.1200000000000001,1-10-06,4:26:13 PM,1-10-06,5:28:33 PM
40509,Pupping                       ,1517,1200,79.099999999999994,19,1.5800000000000001,1181,98.420000000000002,455,38.530000000000001,379,32.090000000000003,196,16.600000000000001,86,7.2800000000000002,28,2.3700000000000001,7,0.58999999999999997,30,2.54,1-10-06,3:34:19 PM,1-10-06,4:27:42 PM
40510,St.Marienkirchen an d. Polsenz,1710,1398,81.75,36,2.5800000000000001,1362,97.420000000000002,516,37.890000000000001,443,32.530000000000001,206,15.119999999999999,114,8.3699999999999992,26,1.9099999999999999,13,0.94999999999999996,44,3.23,1-10-06,3:40:02 PM,1-10-06,3:53:08 PM
40511,Scharten                      ,1572,1301,82.760000000000005,10,0.77000000000000002,1291,99.230000000000004,418,32.380000000000003,453,35.090000000000003,228,17.66,123,9.5299999999999994,37,2.8700000000000001,5,0.39000000000000001,27,2.0899999999999999,1-10-06,4:18:58 PM,1-10-06,5:03:57 PM
40512,Stroheim                      ,1204,961,79.819999999999993,36,3.75,925,96.25,531,57.409999999999997,191,20.649999999999999,98,10.59,54,5.8399999999999999,21,2.27,9,0.96999999999999997,21,2.27,1-10-06,3:06:37 PM,1-10-06,3:06:37 PM
40600,Bezirk Freistadt                     ,49191,41437,84.239999999999995,1036,2.5,40401,97.5,17264,42.729999999999997,13789,34.130000000000003,3708,9.1799999999999997,3566,8.8300000000000001,822,2.0299999999999998,314,0.78000000000000003,938,2.3199999999999998,1-10-06,6:36:34 PM,1-10-06,6:36:34 PM
40601,Freistadt                     ,5620,4608,81.989999999999995,116,2.52,4492,97.480000000000004,1485,33.060000000000002,1681,37.420000000000002,501,11.15,563,12.529999999999999,113,2.52,38,0.84999999999999998,111,2.4700000000000002,1-10-06,5:52:08 PM,1-10-06,5:52:08 PM
40602,Grünbach                      ,1380,1143,82.829999999999998,25,2.1899999999999999,1118,97.810000000000002,498,44.539999999999999,304,27.190000000000001,156,13.949999999999999,95,8.5,27,2.4199999999999999,9,0.81000000000000005,29,2.5899999999999999,1-10-06,3:44:60 PM,1-10-06,3:44:60 PM
40603,Gutau                         ,2049,1690,82.480000000000004,32,1.8899999999999999,1658,98.109999999999999,727,43.850000000000001,587,35.399999999999999,136,8.1999999999999993,144,8.6899999999999995,28,1.6899999999999999,6,0.35999999999999999,30,1.8100000000000001,1-10-06,4:42:28 PM,1-10-06,4:42:28 PM
40604,Hagenberg im Mühlkreis        ,1947,1604,82.379999999999995,39,2.4300000000000002,1565,97.569999999999993,437,27.920000000000002,619,39.549999999999997,167,10.67,223,14.25,45,2.8799999999999999,20,1.28,54,3.4500000000000002,1-10-06,4:56:48 PM,1-10-06,4:56:48 PM
40605,Hirschbach im Mühlkreis       ,887,774,87.260000000000005,22,2.8399999999999999,752,97.159999999999997,376,50,199,26.460000000000001,53,7.0499999999999998,85,11.300000000000001,17,2.2599999999999998,4,0.53000000000000003,18,2.3900000000000001,1-10-06,4:31:22 PM,1-10-06,4:31:22 PM
40606,Kaltenberg                    ,477,423,88.680000000000007,5,1.1799999999999999,418,98.819999999999993,312,74.640000000000001,40,9.5700000000000003,44,10.529999999999999,6,1.4399999999999999,11,2.6299999999999999,1,0.23999999999999999,4,0.95999999999999996,1-10-06,2:51:30 PM,1-10-06,2:51:30 PM
40607,Kefermarkt                    ,1631,1387,85.040000000000006,37,2.6699999999999999,1350,97.329999999999998,528,39.109999999999999,512,37.93,123,9.1099999999999994,111,8.2200000000000006,22,1.6299999999999999,14,1.04,40,2.96,1-10-06,4:50:21 PM,1-10-06,4:50:21 PM
40608,Königswiesen                  ,2427,1979,81.540000000000006,50,2.5299999999999998,1929,97.469999999999999,1005,52.100000000000001,554,28.719999999999999,183,9.4900000000000002,117,6.0700000000000003,32,1.6599999999999999,7,0.35999999999999999,31,1.6100000000000001,1-10-06,6:35:58 PM,1-10-06,6:35:58 PM
40609,Lasberg                       ,2160,1803,83.469999999999999,39,2.1600000000000001,1764,97.840000000000003,821,46.539999999999999,484,27.440000000000001,179,10.15,196,11.109999999999999,32,1.8100000000000001,10,0.56999999999999995,42,2.3799999999999999,1-10-06,3:59:36 PM,1-10-06,3:59:36 PM
40610,Leopoldschlag                 ,807,682,84.510000000000005,32,4.6900000000000004,650,95.310000000000002,371,57.079999999999998,142,21.850000000000001,65,10,42,6.46,8,1.23,2,0.31,20,3.0800000000000001,1-10-06,3:28:49 PM,1-10-06,3:28:49 PM
40611,Liebenau                      ,1399,1179,84.269999999999996,19,1.6100000000000001,1160,98.390000000000001,627,54.049999999999997,374,32.240000000000002,66,5.6900000000000004,41,3.5299999999999998,20,1.72,5,0.42999999999999999,27,2.3300000000000001,1-10-06,4:07:16 PM,1-10-06,4:07:16 PM
40612,Neumarkt im Mühlkreis         ,2356,1973,83.739999999999995,41,2.0800000000000001,1932,97.920000000000002,801,41.460000000000001,598,30.949999999999999,207,10.710000000000001,230,11.9,22,1.1399999999999999,26,1.3500000000000001,48,2.48,1-10-06,6:36:34 PM,1-10-06,6:36:34 PM
40613,Pierbach                      ,751,606,80.689999999999998,12,1.98,594,98.019999999999996,317,53.369999999999997,171,28.789999999999999,48,8.0800000000000001,25,4.21,13,2.1899999999999999,4,0.67000000000000004,16,2.6899999999999999,1-10-06,1:46:15 PM,1-10-06,1:46:15 PM
40614,Pregarten                     ,3727,3164,84.890000000000001,88,2.7799999999999998,3076,97.219999999999999,1121,36.439999999999998,1255,40.799999999999997,290,9.4299999999999997,264,8.5800000000000001,68,2.21,22,0.71999999999999997,56,1.8200000000000001,1-10-06,5:53:12 PM,1-10-06,5:53:12 PM
40615,Rainbach im Mühlkreis         ,2202,1858,84.379999999999995,67,3.6099999999999999,1791,96.390000000000001,890,49.689999999999998,580,32.380000000000003,113,6.3099999999999996,143,7.9800000000000004,20,1.1200000000000001,12,0.67000000000000004,33,1.8400000000000001,1-10-06,5:04:55 PM,1-10-06,5:04:55 PM
40616,Sandl                         ,1111,929,83.620000000000005,23,2.48,906,97.519999999999996,318,35.100000000000001,426,47.020000000000003,46,5.0800000000000001,58,6.4000000000000004,19,2.1000000000000001,10,1.1000000000000001,29,3.2000000000000002,1-10-06,4:22:08 PM,1-10-06,4:22:08 PM
40617,St.Leonhard bei Freistadt     ,1140,960,84.209999999999994,26,2.71,934,97.290000000000006,468,50.109999999999999,311,33.299999999999997,56,6,51,5.46,19,2.0299999999999998,7,0.75,22,2.3599999999999999,1-10-06,4:57:20 PM,1-10-06,4:57:20 PM
