WAHLKREIS,WAHL_DATUM,'SPÖ','ÖVP','GRÜNE','FPÖ'
Putzleinsdorf                 ,2013-09-29,116,379,64,153
Altschwendt                   ,2013-09-29,85,130,39,98
Diersbach                     ,2013-09-29,157,300,69,229
Dorf an der Pram              ,2013-09-29,108,263,42,132
Rainbach im Innkreis          ,2013-09-29,146,320,58,238
St.Aegidi                     ,2013-09-29,120,426,53,257
Schardenberg                  ,2013-09-29,166,543,71,300
Sigharting                    ,2013-09-29,47,210,28,129
Wernstein am Inn              ,2013-09-29,210,299,56,183
Großraming                    ,2013-09-29,514,539,164,269
Reichraming                   ,2013-09-29,533,145,73,213
Frankenburg am Hausruck       ,2013-09-29,916,667,216,777
Gampern                       ,2013-09-29,365,472,187,362
Mondsee                       ,2013-09-29,254,381,203,260
Ottnang am Hausruck           ,2013-09-29,606,475,168,558
Pöndorf                       ,2013-09-29,308,384,71,359
Rüstorf                       ,2013-09-29,332,231,119,319
Neukirchen bei Lambach        ,2013-09-29,89,193,30,102
Schleißheim                   ,2013-09-29,141,174,100,170
Weißkirchen an der Traun      ,2013-09-29,509,431,181,454
Bezirk Freistadt                     ,2013-09-29,11231,14047,4668,7656
Neumarkt im Mühlkreis         ,2013-09-29,494,579,265,293
Wahlkreis Mühlviertel,2013-09-29,43609,57854,21151,30597
Stadt Linz,2013-09-29,33229,14959,16826,19092
Aspach                        ,2013-09-29,203,549,91,321
Braunau am Inn                ,2013-09-29,2270,1098,810,1802
Ebensee                       ,2013-09-29,1909,674,448,729
Kirchham                      ,2013-09-29,160,487,106,228
Laakirchen                    ,2013-09-29,1829,927,497,1029
Pinsdorf                      ,2013-09-29,643,323,249,510
Naarn im Machlande            ,2013-09-29,624,706,143,419
Mehrnbach                     ,2013-09-29,204,366,98,405
Traunkirchen                  ,2013-09-29,211,238,155,148
Kallham                       ,2013-09-29,311,483,135,350
Natternbach                   ,2013-09-29,336,432,113,343
Edlbach                       ,2013-09-29,78,154,23,72
Oberschlierbach               ,2013-09-29,65,97,40,41
Spital am Pyhrn               ,2013-09-29,371,277,72,322
Hörsching                     ,2013-09-29,942,580,300,842
Leonding                      ,2013-09-29,4306,2467,2063,2809
Traun                         ,2013-09-29,4229,1382,963,2708
Mauthausen                    ,2013-09-29,1134,468,248,500
Mitterkirchen im Machland     ,2013-09-29,273,369,76,156
Eidenberg                     ,2013-09-29,176,483,148,185
Reichenau im Mühlkreis        ,2013-09-29,171,251,98,124
Zwettl an der Rodl            ,2013-09-29,179,392,154,155
Oberwang,2017-10-15,61,501,10,302
Pühret,2017-10-15,86,123,18,113
Redleiten,2017-10-15,55,81,9,101
Redlham,2017-10-15,237,272,28,249
Regau,2017-10-15,992,1004,131,1131
Timelkam,2017-10-15,1001,781,95,859
Ungenach,2017-10-15,149,362,37,267
Weißenkirchen im Attergau,2017-10-15,74,282,12,184
Ternberg,2017-10-15,553,651,51,510
Urfahr-Umgebung,2017-10-15,15022,20848,2834,12146
Kirchschlag bei Linz,2017-10-15,262,443,54,259
Neufelden,2017-10-15,137,273,32,145
Oberkappel,2017-10-15,34,196,5,86
Putzleinsdorf,2017-10-15,109,464,20,234
St.Johann am Wimberg,2017-10-15,100,248,10,187
St.Veit im Mühlkreis,2017-10-15,130,329,22,199
Rohrbach-Berg,2017-10-15,507,1143,127,717
Diersbach,2017-10-15,169,357,30,304
Eggerding,2017-10-15,104,338,10,282
Esternberg,2017-10-15,217,670,35,623
Raab,2017-10-15,185,448,46,495
Weyregg am Attersee,2017-10-15,189,302,33,206
Bachmanning,2017-10-15,82,126,17,113
Edt bei Lambach,2017-10-15,304,378,24,419
Offenhausen,2017-10-15,169,366,20,310
Schleißheim,2017-10-15,168,249,29,209
Neukirchen an der Enknach,2017-10-15,235,457,23,413
Perwang am Grabensee,2017-10-15,88,234,15,188
St.Johann am Walde,2017-10-15,287,340,18,377
Weng im Innkreis,2017-10-15,142,293,17,286
Königswiesen,2017-10-15,351,825,31,596
Schönau im Mühlkreis,2017-10-15,232,539,21,337
Waldburg,2017-10-15,201,328,31,186
Windhaag bei Freistadt,2017-10-15,200,439,23,210
Oberösterreich,2017-10-15,246201,280595,32792,239444
Altheim,2017-10-15,661,715,54,921
Maria Schmolln,2017-10-15,118,347,12,214
St.Marien,2017-10-15,735,878,68,639
Wilhering,2017-10-15,1003,1076,153,648
Langenstein,2017-10-15,618,339,33,399
St.Georgen am Walde,2017-10-15,320,465,13,345
St.Thomas am Blasenstein,2017-10-15,73,320,9,103
Ried im Innkreis,2017-10-15,8757,14812,1466,13365
Gurten,2017-10-15,114,225,11,198
Peterskirchen,2017-10-15,46,211,10,114
Waldzell,2017-10-15,249,447,17,438
Afiesl,2017-10-15,42,90,3,85
Altenfelden,2017-10-15,261,471,39,410
Helfenberg,2017-10-15,142,203,17,156
Julbach,2017-10-15,265,338,7,217
Grünau im Almtal,2017-10-15,318,350,32,355
St.Konrad,2017-10-15,161,270,15,153
Bad Schallerbach,2017-10-15,502,654,65,542
Geboltskirchen,2017-10-15,206,294,23,218
Haag am Hausruck,2017-10-15,252,418,28,325
Heiligenberg,2017-10-15,45,230,7,146
Kallham,2017-10-15,296,525,28,407
Meggenhofen,2017-10-15,164,355,40,214
Michaelnbach,2017-10-15,92,316,11,217
Natternbach,2017-10-15,290,521,36,479
St.Georgen bei Grieskirchen,2017-10-15,165,242,21,191
Taufkirchen an der Trattnach,2017-10-15,196,417,23,430
Grünburg,2017-10-15,479,579,39,629
Kremsmünster,2017-10-15,663,1190,102,867
Oberschlierbach,2017-10-15,59,121,11,61
Pettenbach,2017-10-15,555,926,96,972
Steinbach an der Steyr,2017-10-15,250,503,27,342
Wartberg an der Krems,2017-10-15,305,679,49,431
Hargelsberg,2017-10-15,221,292,22,177
Waldkirchen am Wesen,2017-10-15,150,339,9,195
Atzbach,2017-10-15,72,315,22,242
St.Veit im Innkreis,2019-09-29,48,103,7,51
Tarsdorf,2019-09-29,82,587,78,200
Stroheim,2019-09-29,92,495,61,186
Linz und Umgebung,2019-09-29,49991,49869,31023,27420
Wels,2019-09-29,14265,13262,6782,9958
Burgkirchen,2019-09-29,179,621,124,290
Kirchberg bei Mattighofen,2019-09-29,48,338,35,136
Luftenberg an der Donau,2019-09-29,661,676,242,374
Münzbach,2019-09-29,98,521,66,184
Naarn im Machlande,2019-09-29,451,894,158,327
St.Georgen am Walde,2019-09-29,260,529,52,198
St.Nikola an der Donau,2019-09-29,68,206,22,44
Kirchdorf am Inn,2019-09-29,33,185,20,75
Neuhofen im Innkreis,2019-09-29,210,490,138,225
Obernberg am Inn,2019-09-29,97,207,51,153
Peterskirchen,2019-09-29,26,218,29,79
St.Georgen b. Obernberg am Inn,2019-09-29,27,191,29,41
Rohrbach,2019-09-29,5285,17629,4058,5947
Kollerschlag,2019-09-29,91,457,37,201
Nebelberg,2019-09-29,82,228,22,33
Neufelden,2019-09-29,84,272,100,81
St.Johann am Wimberg,2019-09-29,59,250,57,113
Roitham,2019-09-29,228,379,79,218
Aistersheim,2019-09-29,58,161,49,125
Kallham,2019-09-29,215,538,133,256
Peuerbach,2019-09-29,306,1107,238,440
Micheldorf in Oberösterreich,2019-09-29,780,941,370,514
Rohr im Kremstal,2019-09-29,137,270,84,113
St.Ulrich bei Steyr,2019-09-29,320,720,190,271
Engerwitzdorf,2019-09-29,951,1706,799,693
Regau,2019-09-29,702,1161,462,723
Timelkam,2019-09-29,712,909,394,454
Unterach am Attersee,2019-09-29,113,292,73,82
Vöcklabruck,2019-09-29,17196,31989,11667,15066
Edt bei Lambach,2019-09-29,226,438,105,242
Holzhausen,2019-09-29,94,179,57,101
Gramastetten,2019-09-29,398,1089,436,332
Lichtenberg,2019-09-29,260,606,267,175
Fornach,2019-09-29,45,312,43,93
Neukirchen an der Vöckla,2019-09-29,251,622,167,288
Diersbach,2019-09-29,115,376,83,211
Esternberg,2019-09-29,147,791,106,361
St.Marienkirchen bei Schärding,2019-09-29,96,445,57,233
Suben,2019-09-29,100,251,52,111
Taufkirchen an der Pram,2019-09-29,296,610,109,387
Neukirchen an der Enknach     ,2002-11-24,339,665,72,183
St.Marienkirchen an d. Polsenz,2002-11-24,482,659,79,160
Scharten                      ,2002-11-24,460,487,115,204
Neumarkt im Mühlkreis         ,2002-11-24,597,1007,155,137
Rainbach im Mühlkreis         ,2002-11-24,571,997,117,104
Waldburg                      ,2002-11-24,250,520,58,46
Pinsdorf                      ,2002-11-24,1002,766,154,223
St.Johann am Walde            ,2002-11-24,530,546,52,107
St.Peter am Hart              ,2002-11-24,464,612,104,151
St.Veit im Innkreis           ,2002-11-24,76,152,5,30
Alkoven                       ,2002-11-24,1579,1053,227,322
Hartkirchen                   ,2002-11-24,839,1302,144,269
Stadt Steyr                         ,2002-11-24,11552,6120,2038,2221
Altheim                       ,2002-11-24,1171,1101,186,438
Waldzell                      ,2002-11-24,416,626,55,182
Berg bei Rohrbach             ,2002-11-24,384,976,138,108
Klaffer am Hochficht          ,2002-11-24,349,357,34,90
Kollerschlag                  ,2002-11-24,203,598,28,71
Rohrbach in Oberösterreich    ,2002-11-24,356,900,175,94
Vorchdorf                     ,2002-11-24,1586,1721,294,544
Bruck-Waasen                  ,2002-11-24,329,890,65,127
Neukirchen am Walde           ,2002-11-24,212,649,61,111
Neumarkt im Hausruckkreis     ,2002-11-24,327,358,39,144
Peuerbach                     ,2002-11-24,317,707,109,152
Grünburg                      ,2002-11-24,918,973,107,239
Enns                          ,2002-11-24,2951,1994,559,598
Kirchberg-Thening             ,2002-11-24,697,417,123,167
St.Marien                     ,2002-11-24,1116,1083,216,192
Allerheiligen im Mühlkreis    ,2002-11-24,264,410,35,48
Katsdorf                      ,2002-11-24,770,715,147,97
Mauthausen                    ,2002-11-24,1639,867,218,210
Ried in der Riedmark          ,2002-11-24,1139,986,169,114
Antiesenhofen                 ,2002-11-24,234,286,33,96
Eberschwang                   ,2002-11-24,846,779,136,343
Eitzing                       ,2002-11-24,103,256,13,62
Lambrechten                   ,2002-11-24,132,498,31,149
St.Georgen b. Obernberg am Inn,2002-11-24,45,265,23,27
Innerschwand                  ,2002-11-24,84,434,38,33
Steinbach am Attersee         ,2002-11-24,132,304,23,57
Tiefgraben                    ,2002-11-24,335,1130,124,194
Unterach am Attersee          ,2002-11-24,291,382,54,79
Vöcklabruck                   ,2002-11-24,2626,2669,819,708
Edt bei Lambach               ,2002-11-24,433,551,81,183
Marchtrenk                    ,2002-11-24,3433,1919,530,814
Pichl bei Wels                ,2002-11-24,510,789,149,195
Mondsee                       ,2002-11-24,382,850,168,261
Redlham                       ,2002-11-24,292,351,66,76
St.Georgen im Attergau        ,2002-11-24,644,1086,146,302
Brunnenthal                   ,2002-11-24,327,570,81,179
Vichtenstein                  ,2002-11-24,64,237,15,67
Bezirk Steyr-Land                    ,2002-11-24,13634,16793,2468,3298
Sierning                      ,2002-11-24,2662,2042,303,498
Weyer-Land                    ,2002-11-24,779,576,82,114
Feldkirchen an der Donau      ,2002-11-24,1208,1450,242,331
Hellmonsödt                   ,2002-11-24,402,602,136,127
Kirchschlag bei Linz          ,2002-11-24,323,624,127,88
Vichtenstein                  ,2008-09-28,50,161,17,86
Bad Hall                      ,2008-09-28,802,697,250,509
Garsten                       ,2008-09-28,1183,1123,470,660
Reichraming                   ,2008-09-28,666,189,64,180
Rohr im Kremstal              ,2008-09-28,224,261,51,107
St.Ulrich bei Steyr           ,2008-09-28,468,637,198,269
Waldneukirchen                ,2008-09-28,315,540,71,218
Feldkirchen an der Donau      ,2008-09-28,1038,921,320,544
Puchenau                      ,2008-09-28,798,685,491,359
Bezirk Vöcklabruck                   ,2008-09-28,21941,21402,7264,17941
Attersee                      ,2008-09-28,229,261,104,190
Aurach am Hongar              ,2008-09-28,319,218,55,239
Desselbrunn                   ,2008-09-28,303,339,87,187
Kleinzell im Mühlkreis        ,2008-09-28,231,278,74,117
Lembach im Mühlkreis          ,2008-09-28,210,381,75,157
Nebelberg                     ,2008-09-28,92,209,19,57
Oberkappel                    ,2008-09-28,55,200,17,55
Freinberg                     ,2008-09-28,191,338,30,125
Holzhausen                    ,2008-09-28,128,131,28,86
Offenhausen                   ,2008-09-28,185,293,67,230
Sattledt                      ,2008-09-28,384,461,67,302
Oberwang                      ,2008-09-28,95,495,32,194
Puchkirchen am Trattberg      ,2008-09-28,120,198,62,124
Pühret                        ,2008-09-28,80,137,32,93
Straß im Attergau             ,2008-09-28,127,277,40,233
Timelkam                      ,2008-09-28,1255,591,326,812
Aichkirchen                   ,2008-09-28,41,149,15,94
Buchkirchen                   ,2008-09-28,830,528,208,480
Steyr             ,2008-09-28,8937,2771,1989,3828
Aschach an der Donau          ,2008-09-28,451,267,149,318
Bezirk Freistadt                     ,2008-09-28,12147,14641,3901,7230
Grünbach                      ,2008-09-28,240,397,78,260
Hagenberg im Mühlkreis        ,2008-09-28,529,346,215,321
Hirschbach im Mühlkreis       ,2008-09-28,156,311,66,89
Leopoldschlag                 ,2008-09-28,112,329,44,103
Neumarkt im Mühlkreis         ,2008-09-28,565,650,219,299
Braunau am Inn                ,2008-09-28,2723,1291,859,1836
Geretsberg                    ,2008-09-28,98,209,41,107
Hochburg-Ach                  ,2008-09-28,285,572,119,243
Mattighofen                   ,2008-09-28,951,437,196,499
St.Johann am Walde            ,2008-09-28,385,343,77,245
Neumarkt im Hausruckkreis     ,2008-09-28,289,185,54,201
Pötting                       ,2008-09-28,59,200,19,43
St.Agatha                     ,2008-09-28,241,599,69,227
Wallern an der Trattnach      ,2008-09-28,596,455,168,389
Weibern                       ,2008-09-28,185,359,78,142
Steinbach am Ziehberg         ,2008-09-28,108,192,37,112
Eggendorf im Traunkreis       ,2008-09-28,150,156,21,82
Enns                          ,2008-09-28,2268,1194,635,1140
Bezirk Perg                          ,2008-09-28,14779,12627,3200,7291
Waldhausen im Strudengau      ,2008-09-28,591,646,103,338
Eitzing                       ,2008-09-28,106,144,31,115
Hohenzell                     ,2008-09-28,178,471,113,230
Kirchdorf am Inn              ,2008-09-28,74,177,17,73
Peterskirchen                 ,2008-09-28,31,227,28,90
Pramet                        ,2008-09-28,130,191,38,176
Ried im Innkreis              ,2008-09-28,1504,1467,700,1455
Taiskirchen im Innkreis       ,2008-09-28,281,628,112,282
Hallstatt                     ,2008-09-28,303,80,43,39
Kirchham                      ,2008-09-28,209,460,78,220
Roitham                       ,2008-09-28,347,342,87,289
St.Wolfgang im Salzkammergut  ,2008-09-28,411,466,104,247
Hofkirchen an der Trattnach   ,2008-09-28,192,295,53,207
Meggenhofen                   ,2008-09-28,123,343,68,148
Natternbach                   ,2008-09-28,350,484,84,331
Waldzell                      ,2008-09-28,353,417,78,243
Altenfelden                   ,2008-09-28,307,419,95,271
Berg bei Rohrbach             ,2008-09-28,305,597,155,240
Helfenberg                    ,2013-09-29,120,263,47,82
Klaffer am Hochficht          ,2013-09-29,203,251,28,239
Neufelden                     ,2013-09-29,124,271,103,92
Andorf                        ,2013-09-29,781,769,208,850
Freinberg                     ,2013-09-29,160,249,35,155
Mayrhof                       ,2013-09-29,15,100,8,41
Raab                          ,2013-09-29,199,356,104,414
Riedau                        ,2013-09-29,277,241,82,282
Aschach an der Steyr          ,2013-09-29,269,395,204,241
St.Ulrich bei Steyr           ,2013-09-29,401,547,220,348
Ternberg                      ,2013-09-29,552,509,214,384
Lenzing                       ,2013-09-29,1161,247,197,779
Manning                       ,2013-09-29,111,167,51,88
Pfaffing                      ,2013-09-29,230,210,83,195
St.Lorenz                     ,2013-09-29,162,459,145,244
Schlatt                       ,2013-09-29,150,214,65,169
Vöcklamarkt                   ,2013-09-29,661,742,257,643
Wolfsegg am Hausruck          ,2013-09-29,348,240,101,209
Buchkirchen                   ,2013-09-29,666,474,259,554
Eberstalzell                  ,2013-09-29,153,483,132,337
Krenglbach                    ,2013-09-29,509,345,205,432
Offenhausen                   ,2013-09-29,153,284,86,272
Steinhaus                     ,2013-09-29,219,294,101,402
Weng im Innkreis              ,2013-09-29,142,274,37,242
Alkoven                       ,2013-09-29,1107,628,378,713
Stroheim                      ,2013-09-29,141,365,76,228
Unterweißenbach               ,2013-09-29,282,541,68,355
Linz,2013-09-29,29562,12349,13674,17409
Stadt Steyr                         ,2013-09-29,7764,2501,2609,4382
Franking                      ,2013-09-29,78,165,29,104
Maria Schmolln                ,2013-09-29,131,335,50,179
Polling im Innkreis           ,2013-09-29,91,196,21,176
St.Johann am Walde            ,2013-09-29,345,318,67,275
Bad Zell                      ,2013-09-29,317,677,227,326
Perg                          ,2013-09-29,1208,1201,454,843
St.Georgen am Walde           ,2013-09-29,425,416,55,231
St.Nikola an der Donau        ,2013-09-29,98,193,34,67
St.Thomas am Blasenstein      ,2013-09-29,77,310,19,74
Aurolzmünster                 ,2013-09-29,373,276,95,461
Eberschwang                   ,2013-09-29,513,392,153,490
Gurten                        ,2013-09-29,123,230,41,143
Pattigham                     ,2013-09-29,70,193,39,145
Peterskirchen                 ,2013-09-29,32,200,28,94
Tollet                        ,2013-09-29,128,191,79,98
Micheldorf in Oberösterreich  ,2013-09-29,1071,559,403,798
Nußbach                       ,2013-09-29,261,550,140,239
Vorderstoder                  ,2013-09-29,67,159,28,110
Kronstorf                     ,2013-09-29,592,398,167,421
Pucking                       ,2013-09-29,633,437,206,590
Bezirk Perg                          ,2013-09-29,12862,12380,4137,7775
Arbing                        ,2013-09-29,226,269,92,151
Kirchschlag bei Linz          ,2013-09-29,216,371,189,214
Puchenau                      ,2013-09-29,606,627,557,359
Attnang-Puchheim              ,2013-09-29,1531,526,412,1060
Frankenmarkt,2017-10-15,416,699,55,591
Niederthalheim,2017-10-15,87,251,29,233
Rüstorf,2017-10-15,292,325,32,388
Rutzenham,2017-10-15,20,69,9,41
Schlatt,2017-10-15,160,230,27,210
Steinbach am Attersee,2017-10-15,86,194,34,98
Unterach am Attersee,2017-10-15,154,273,14,119
Vöcklamarkt,2017-10-15,619,947,72,739
Maria Neustift,2017-10-15,139,466,10,302
Pfarrkirchen bei Bad Hall,2017-10-15,346,422,28,364
Alberndorf in der Riedmark,2017-10-15,514,868,71,672
Goldwörth,2017-10-15,105,190,24,121
Hellmonsödt,2017-10-15,317,431,49,294
Reichenau im Mühlkreis,2017-10-15,168,289,24,199
St.Gotthard im Mühlkreis,2017-10-15,199,273,33,174
Ampflwang im Hausruckwald,2017-10-15,742,377,29,562
Kleinzell im Mühlkreis,2017-10-15,231,362,32,191
Kollerschlag,2017-10-15,123,422,9,287
Pfarrkirchen im Mühlkreis,2017-10-15,99,456,25,241
Neustift im Mühlkreis,2017-10-15,153,434,23,126
St.Ulrich im Mühlkreis,2017-10-15,56,171,22,86
Aigen-Schlägl,2017-10-15,340,686,57,462
Schärding,2017-10-15,7442,14621,1039,12803
Altschwendt,2017-10-15,99,173,14,115
Brunnenthal,2017-10-15,192,364,40,388
Kopfing im Innkreis,2017-10-15,152,466,23,463
Rainbach im Innkreis,2017-10-15,143,354,20,306
Lambach,2017-10-15,375,370,45,453
Stadl-Paura,2017-10-15,650,430,66,895
Thalheim bei Wels,2017-10-15,693,881,128,773
Moosbach,2017-10-15,82,169,18,241
Moosdorf,2017-10-15,254,273,12,271
Polling im Innkreis,2017-10-15,104,185,5,230
St.Veit im Innkreis,2017-10-15,50,91,4,87
Eferding,2017-10-15,6347,7318,795,6912
Neumarkt im Mühlkreis,2017-10-15,496,666,93,423
St.Oswald bei Freistadt,2017-10-15,491,581,18,513
Unterweitersdorf,2017-10-15,450,383,42,283
Bad Zell,2017-10-15,343,711,79,458
Gmunden,2017-10-15,21323,20362,2386,17469
Innviertel,2017-10-15,27052,47826,3880,42573
Mühlviertel,2017-10-15,47176,69413,7065,44188
Aspach,2017-10-15,191,524,26,448
Mattighofen,2017-10-15,684,599,54,725
St.Florian,2017-10-15,952,1261,126,779
Pasching,2017-10-15,1336,965,122,1109
Mitterkirchen im Machland,2017-10-15,211,394,18,262
St.Georgen an der Gusen,2017-10-15,926,589,107,517
St.Nikola an der Donau,2017-10-15,84,184,9,92
Aurolzmünster,2017-10-15,324,425,25,582
Hohenzell,2017-10-15,181,509,40,341
Mettmach,2017-10-15,226,416,15,578
Obernberg am Inn,2017-10-15,147,159,21,275
Auberg,2017-10-15,42,178,13,83
Hofkirchen im Mühlkreis,2017-10-15,148,351,35,222
Eschenau im Hausruckkreis,2017-10-15,71,331,13,233
Gaspoltshofen,2017-10-15,365,582,69,678
Peuerbach,2017-10-15,252,430,50,346
Rottenbach,2017-10-15,100,197,16,270
Kirchdorf an der Krems,2017-10-15,9362,12162,1307,10426
Nußbach,2017-10-15,238,575,45,314
Roßleithen,2017-10-15,249,331,24,268
Kematen an der Krems,2017-10-15,367,482,34,426
St.Aegidi,2017-10-15,119,442,21,352
Bad Hall,2017-10-15,636,818,85,687
Gaflenz,2017-10-15,226,488,19,311
Schalchen,2019-09-29,386,742,162,354
Weng im Innkreis,2019-09-29,100,296,60,201
Alkoven,2019-09-29,915,986,405,606
Haibach ob der Donau,2019-09-29,163,337,61,123
Hirschbach im Mühlkreis,2019-09-29,101,301,83,60
Pierbach,2019-09-29,91,297,28,132
Schönau im Mühlkreis,2019-09-29,197,649,76,193
Weitersfelden,2019-09-29,94,308,47,71
Linz,2019-09-29,49210,42299,32544,24716
Höhnhart,2019-09-29,109,302,37,164
Jeging,2019-09-29,47,180,14,80
Mauerkirchen,2019-09-29,175,300,62,210
Mining,2019-09-29,96,290,74,109
Moosdorf,2019-09-29,205,309,61,187
Klam,2019-09-29,71,187,35,128
St.Thomas am Blasenstein,2019-09-29,52,329,27,62
Andrichsfurt,2019-09-29,23,218,38,86
Eberschwang,2019-09-29,343,575,153,407
Geiersberg,2019-09-29,28,117,26,58
Lambrechten,2019-09-29,64,340,48,195
Mehrnbach,2019-09-29,138,463,89,296
